Symbol;name;sector;industry group;industry
AESGENER.SN;AES Andes S.A.;Utilities;Utilities;Independent Power and Renewable Electricity Producers
AGUAS-A.SN;Aguas Andinas S.A.;Utilities;Utilities;Water Utilities
ANDINA-B.SN;Embotelladora Andina S.A.;Consumer Staples;Food; Beverage & Tobacco
BCI.SN;Banco de Credito e Inversiones;Financials;Banks;Banks
BSANTANDER.SN;Banco Santander-Chile;Financials;Banks;Banks
CAP.SN;CAP S.A.;Materials;Materials;Metals & Mining
CCU.SN;Compañia Cerveceras Unidas S.A.;Consumer Staples;Food; Beverage & Tobacco
CENCOSUD.SN;Cencosud S.A.;Consumer Discretionary;Consumer Durables & Apparel;Household Durables
CHILE.SN;Banco de Chile;Financials;Banks;Banks
CMPC.SN;Empresas CMPC S.A.;Materials;Materials;Paper & Forest Products
COLBUN.SN;Colbun S.A.;Utilities;Utilities;Electric Utilities
CONCHATORO.SN;Viña Concha y Toro S.A.;Consumer Staples;Food; Beverage & Tobacco
ENELAM.SN;Enel Americas S.A.;Utilities;Utilities;Electric Utilities
ENELCHILE.SN;Enel Chile S.A.;Utilities;Utilities;Electric Utilities
FALABELLA.SN;Falabella S.A.;Consumer Discretionary;Consumer Durables & Apparel;Household Durables
ITAUCORP.SN;Itau Corpbanca;Financials;Banks;Banks
MALLPLAZA.SN;Plaza S.A.;Real Estate;Real Estate;Real Estate Management & Development
PARAUCO.SN;Parque Arauco S.A.;Real Estate;Real Estate;Real Estate Management & Development
RIPLEY.SN;Ripley Corp S.A.;Consumer Discretionary;Consumer Durables & Apparel;Household Durables
SALFACORP.SN;SalfaCorp S.A.;Industrials;Capital Goods;Construction & Engineering
SONDA.SN;Sonda S.A.;Information Technology;Software & Services;IT Services
SQM-B.SN;Sociedad Quimica y Minera de Chile S.A.;Materials;Materials;Chemicals
VAPORES.SN;Compañia Sud Americana de Vapores S.A.;Industrials;Transportation;Marine
COPEC.SN;Empresas Copec S.A.;Industrials;Capital Goods;Industrial Conglomerates
QUINENCO.SN;Quiñenco S.A.;Industrials;Capital Goods;Industrial Conglomerates
CENCOSHOPP.SN;Cencosud Shopping S.A.;Real Estate;Real Estate;Real Estate Management & Development
LTM.SN;LATAM Airlines Group S.A.;Industrials;Transportation;Airlines
ENTEL.SN;Empresa Nacional de Telecomunicaciones S.A.;Communication Services;Telecom Services;Telecom Services
ORO-BLANCO.SN;Sociedad de Inversiones Oro Blanco S.A.;Financials;Diversified Financials;Capital Markets
ECL.SN;Engie Energia Chile S.A.;Utilities;Utilities;Electric Utilities
SMU.SN;SMU S.A.;Consumer Discretionary;Consumer Durables & Apparel;Household Durables
