Symbol,name,country,sector,industry group,industry,exchange
AESGENER.SN,AES Andes S.A.,Chile,Utilities,Utilities,Independent Power and Renewable Electricity Producers,SGO
ENELAM.SN,Enel Américas S.A.,Chile,Utilities,Utilities,Electric Utilities,SGO
ENELCHILE.SN,Enel Chile S.A.,Chile,Utilities,Utilities,Electric Utilities,SGO
ENELDXCH.SN,Enel Distribucion Chile S.A.,Chile,Utilities,Utilities,Electric Utilities,SGO
ENELGXCH.SN,Enel Generación Chile S.A.,Chile,Utilities,Utilities,Independent Power and Renewable Electricity Producers,SGO
ENJOY.SN,Enjoy S.A.,Chile,Consumer Discretionary,Consumer Services,Hotels, Restaurants & Leisure,SGO
ENLASA.SN,Energía Latina S.A.,Chile,Utilities,Utilities,Independent Power and Renewable Electricity Producers,SGO
EPERVA.SN,Empresa Pesquera Eperva S.A.,Chile,Consumer Staples,Household & Personal Products,Household Products,SGO
ESSBIO-C.SN,Essbio S.A.,Chile,Utilities,Utilities,Water Utilities,SGO
ESVAL-C.SN,Esval S.A.,Chile,Utilities,Utilities,Water Utilities,SGO
ENAEX.SN,Enaex S.A.,Chile,Materials,Materials,Chemicals,SGO
FALABELLA.SN,Falabella S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,SGO
FROWARD.SN,Portuaria Cabo Froward S.A.,Chile,Industrials,Transportation,Marine,SGO
GASCO.SN,Empresas Gasco S.A.,Chile,Utilities,Utilities,Gas Utilities,SGO
GOLF.SN,Sociedad Anonima de Deportes Club de Golf Santiago,Chile,Consumer Discretionary,Consumer Services,Hotels, Restaurants & Leisure,SGO
HF.SN,Hortifrut S.A.,Chile,Consumer Staples,Household & Personal Products,Household Products,SGO
HIPODROMOA.SN,Sociedad Hipodromo Chile S.A.,Chile,Consumer Discretionary,Consumer Services,Hotels, Restaurants & Leisure,SGO
HITES.SN,Empresas Hites S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,SGO
IANSA.SN,Empresas Iansa S.A.,Chile,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,SGO
INDISA.SN,Instituto de Diagnóstico S.A.,Chile,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,SGO
INGEVEC.SN,Ingevec S.A.,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
FORUS.SN,Forus S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Textiles, Apparel & Luxury Goods,SGO
EMILIANA.SN,Viñedos Emiliana S.A.,Chile,Consumer Staples,Food, Beverage & Tobacco,Beverages,SGO
EMBONOR-B.SN,Coca-Cola Embonor S.A.,Chile,Consumer Staples,Food, Beverage & Tobacco,Beverages,SGO
EMBONOR-A.SN,Coca-Cola Embonor S.A.,Chile,Consumer Staples,Food, Beverage & Tobacco,Beverages,SGO
CGEGAS.SN,CGE Gas Natural S.A.,Chile,Utilities,Utilities,Multi-Utilities,SGO
CHILE.SN,Banco de Chile,Chile,Financials,Banks,Banks,SGO
CIC.SN,Companias CIC S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,SGO
CINTAC.SN,Cintac S.A.,Chile,Materials,Materials,Metals & Mining,SGO
CMPC.SN,Empresas CMPC S.A.,Chile,Materials,Materials,Paper & Forest Products,SGO
COLBUN.SN,Colbún S.A.,Chile,Utilities,Utilities,Electric Utilities,SGO
COLO-COLO.SN,Blanco y Negro S.A.,Chile,Consumer Discretionary,Consumer Services,Hotels, Restaurants & Leisure,SGO
COLOSO.SN,Sociedad Pesquera Coloso S.A.,Chile,Consumer Staples,Household & Personal Products,Household Products,SGO
CONCHATORO.SN,Viña Concha y Toro S.A.,Chile,Consumer Staples,Food, Beverage & Tobacco,Beverages,SGO
COPEC.SN,Empresas Copec S.A.,Chile,Industrials,Capital Goods,Industrial Conglomerates,SGO
COUNTRY-A.SN,Prince of Wales Country Club S.A.I.,Chile,Consumer Discretionary,Consumer Services,Hotels, Restaurants & Leisure,SGO
CRISTALES.SN,Cristalerías de Chile S.A.,Chile,Consumer Discretionary,Retailing,Distributors,SGO
CRUZADOS.SN,Cruzados SADP,Chile,Consumer Discretionary,Consumer Services,Hotels, Restaurants & Leisure,SGO
CTC.SN,Telefónica Chile S.A.,Chile,Communication Services,Telecommunication Services,Diversified Telecommunication Services,SGO
DUNCANFOX.SN,Duncan Fox S.A.,Chile,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,SGO
ECL.SN,Engie Energia Chile S.A.,Chile,Utilities,Utilities,Electric Utilities,SGO
EDELMAG.SN,Empresa Eléctrica de Magallanes S.A.,Chile,Utilities,Utilities,Electric Utilities,SGO
EDELPA.SN,Envases del Pacifico S.A.,Chile,Consumer Discretionary,Retailing,Distributors,SGO
EISA.SN,Echeverría Izquierdo S.A.,Chile,Industrials,Capital Goods,Construction & Engineering,SGO
ELECMETAL.SN,Compañía Electro Metalúrgica S.A.,Chile,Materials,Materials,Metals & Mining,SGO
ELUXSA.SN,Electrolux de Chile S.A.,Chile,Information Technology,Technology Hardware & Equipment,Electronic Equipment, Instruments & Components,SGO
INVERCAP.SN,Invercap S.A.,Chile,Materials,Materials,Metals & Mining,SGO
CGE.SN,Compañía General de Electricidad S.A.,Chile,Utilities,Utilities,Multi-Utilities,SGO
ISANPA.SN,Inmobiliaria San Patricio S.A.,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
LAS-CONDES.SN,Clínica Las Condes S.A.,Chile,Health Care,Health Care Equipment & Services,Health Care Equipment & Supplies,SGO
SALFACORP.SN,SalfaCorp S.A.,Chile,Industrials,Capital Goods,Construction & Engineering,SGO
SANTANA.SN,Santana S.A.,Chile,Financials,Diversified Financials,Capital Markets,SGO
SCHWAGER.SN,Schwager S.A.,Chile,Industrials,Capital Goods,Construction & Engineering,SGO
SCOTIABKCL.SN,Scotiabank Chile, S.A.,Chile,Financials,Banks,Banks,SGO
SECURITY.SN,Grupo Security S.A.,Chile,Financials,Banks,Banks,SGO
SK.SN,Sigdo Koppers S.A.,Chile,Industrials,Capital Goods,Industrial Conglomerates,SGO
SMSAAM.SN,Sociedad Matriz SAAM S.A.,Chile,Industrials,Transportation,Marine,SGO
SMU.SN,SMU S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,SGO
SOCOVESA.SN,Socovesa S.A.,Chile,Industrials,Capital Goods,Construction & Engineering,SGO
RIPLEY.SN,Ripley Corp S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,SGO
SONDA.SN,Sonda S.A.,Chile,Information Technology,Software & Services,IT Services,SGO
SOQUICOM.SN,Soquimich Comercial S.A.,Chile,Materials,Materials,Construction Materials,SGO
SPORTFRAN.SN,S.A. Inmobiliaria Sport Francais,Chile,Real Estate,Real Estate,Real Estate Management & Development,SGO
SQM-A.SN,Sociedad Química y Minera de Chile S.A.,Chile,Materials,Materials,Chemicals,SGO
SQM-B.SN,Sociedad Química y Minera de Chile S.A.,Chile,Materials,Materials,Chemicals,SGO
TRICOT.SN,Empresas Tricot S.A.,Chile,Consumer Discretionary,Consumer Durables & Apparel,Textiles, Apparel & Luxury Goods,SGO
VAPORES.SN,Compañía Sud Americana de Vapores S.A.,Chile,Industrials,Transportation,Marine,SGO
